Date,Actual,Predicted,Model
2024-08-20,0.0585398684539856,0.16566702035496705,GARCH
2024-08-20,0.0585398684539856,0.12945716523749487,Random Forest
2024-08-20,0.0585398684539856,0.12882372736930847,XGBoost
2024-08-20,0.0585398684539856,0.12679806351661682,Hybrid GARCH+ML
2024-08-21,0.055711788705157604,0.15305632097450872,Historical Volatility
2024-08-21,0.055711788705157604,0.16566702035496705,GARCH
2024-08-21,0.055711788705157604,0.1115455631002281,Random Forest
2024-08-21,0.055711788705157604,0.10409089177846909,XGBoost
2024-08-21,0.055711788705157604,0.11092063784599304,Hybrid GARCH+ML
2024-08-22,0.06129747725939065,0.15251336399788873,Historical Volatility
2024-08-22,0.06129747725939065,0.16566702035496705,GARCH
2024-08-22,0.06129747725939065,0.11211790948233924,Random Forest
2024-08-22,0.06129747725939065,0.10344313085079193,XGBoost
2024-08-22,0.06129747725939065,0.10755093395709991,Hybrid GARCH+ML
2024-08-23,0.06561930791252633,0.15250401415755163,Historical Volatility
2024-08-23,0.06561930791252633,0.16566702035496705,GARCH
2024-08-23,0.06561930791252633,0.11284023630261604,Random Forest
2024-08-23,0.06561930791252633,0.10131575167179108,XGBoost
2024-08-23,0.06561930791252633,0.11056645214557648,Hybrid GARCH+ML
2024-08-26,0.03997727500939147,0.15236248952044773,Historical Volatility
2024-08-26,0.03997727500939147,0.16566702035496705,GARCH
2024-08-26,0.03997727500939147,0.11203720588868904,Random Forest
2024-08-26,0.03997727500939147,0.11263322085142136,XGBoost
2024-08-26,0.03997727500939147,0.11655034124851227,Hybrid GARCH+ML
2024-08-27,0.03992704088192931,0.1510640454447226,Historical Volatility
2024-08-27,0.03992704088192931,0.16566702035496705,GARCH
2024-08-27,0.03992704088192931,0.1079888267578538,Random Forest
2024-08-27,0.03992704088192931,0.10865636169910431,XGBoost
2024-08-27,0.03992704088192931,0.11132558435201645,Hybrid GARCH+ML
2024-08-28,0.044932473164497805,0.1489992143337248,Historical Volatility
2024-08-28,0.044932473164497805,0.16566702035496705,GARCH
2024-08-28,0.044932473164497805,0.10714720399449033,Random Forest
2024-08-28,0.044932473164497805,0.10760235786437988,XGBoost
2024-08-28,0.044932473164497805,0.10987319052219391,Hybrid GARCH+ML
2024-08-29,0.03813116693104475,0.14940989647029876,Historical Volatility
2024-08-29,0.03813116693104475,0.16566702035496705,GARCH
2024-08-29,0.03813116693104475,0.10540129426476202,Random Forest
2024-08-29,0.03813116693104475,0.10392394661903381,XGBoost
2024-08-29,0.03813116693104475,0.10122416168451309,Hybrid GARCH+ML
2024-08-30,0.08840672792524326,0.1486742822408813,Historical Volatility
2024-08-30,0.08840672792524326,0.16566702035496705,GARCH
2024-08-30,0.08840672792524326,0.09699460013178783,Random Forest
2024-08-30,0.08840672792524326,0.10466746240854263,XGBoost
2024-08-30,0.08840672792524326,0.1002422347664833,Hybrid GARCH+ML
2024-09-02,0.09082011427338879,0.14148139652412806,Historical Volatility
2024-09-02,0.09082011427338879,0.1284514210196235,GARCH
2024-09-02,0.09082011427338879,0.08934143390877841,Random Forest
2024-09-02,0.09082011427338879,0.0893135517835617,XGBoost
2024-09-02,0.09082011427338879,0.08501452952623367,Hybrid GARCH+ML
2024-09-03,0.09556650682605021,0.09454678690578502,Historical Volatility
2024-09-03,0.09556650682605021,0.1284514210196235,GARCH
2024-09-03,0.09556650682605021,0.09724357978661492,Random Forest
2024-09-03,0.09556650682605021,0.09602642804384232,XGBoost
2024-09-03,0.09556650682605021,0.09065141528844833,Hybrid GARCH+ML
2024-09-04,0.0991311207722709,0.09499223816900625,Historical Volatility
2024-09-04,0.0991311207722709,0.1284514210196235,GARCH
2024-09-04,0.0991311207722709,0.09933259582473446,Random Forest
2024-09-04,0.0991311207722709,0.10369668900966644,XGBoost
2024-09-04,0.0991311207722709,0.1058310940861702,Hybrid GARCH+ML
2024-09-05,0.16501414713921958,0.08822496484282075,Historical Volatility
2024-09-05,0.16501414713921958,0.1284514210196235,GARCH
2024-09-05,0.16501414713921958,0.10587894376274287,Random Forest
2024-09-05,0.16501414713921958,0.11133737862110138,XGBoost
2024-09-05,0.16501414713921958,0.11495380848646164,Hybrid GARCH+ML
2024-09-06,0.1427952069076309,0.09512853004006813,Historical Volatility
2024-09-06,0.1427952069076309,0.1284514210196235,GARCH
2024-09-06,0.1427952069076309,0.11464592739554316,Random Forest
2024-09-06,0.1427952069076309,0.13758154213428497,XGBoost
2024-09-06,0.1427952069076309,0.13451844453811646,Hybrid GARCH+ML
2024-09-09,0.14096579706060075,0.0896095640321495,Historical Volatility
2024-09-09,0.14096579706060075,0.1284514210196235,GARCH
2024-09-09,0.14096579706060075,0.10608689089169403,Random Forest
2024-09-09,0.14096579706060075,0.11239706724882126,XGBoost
2024-09-09,0.14096579706060075,0.12069199234247208,Hybrid GARCH+ML
